"Well","Clean_Sample_Name","Cleaner_Sample_Name","Col1","18S","Col3","Col1_dCT","Col3_dCT","Col1_ddCT","Col3_ddCT","Gene","FoldChange"
1,"GFOGER 1","GFOGER","21.460470199584961","17.460247039794922","24.81574821472168",4.00022315979004,7.35550117492676,-0.687621646457249,-1.25349468655056,"Col1",1.61062613244587
1,"GFOGER 1","GFOGER","21.460470199584961","17.460247039794922","24.81574821472168",4.00022315979004,7.35550117492676,-0.687621646457249,-1.25349468655056,"Col3",2.38418252275184
13,"GFOGER 2","GFOGER","22.266212463378906","17.378318786621094","25.872224807739258",4.88789367675781,8.49390602111816,0.200048870510525,-0.115089840359158,"Col1",0.870521074368328
13,"GFOGER 2","GFOGER","22.266212463378906","17.378318786621094","25.872224807739258",4.88789367675781,8.49390602111816,0.200048870510525,-0.115089840359158,"Col3",1.08304248728857
14,"GFOGER 2","GFOGER","22.355382919311523","17.593910217285156","26.101810455322266",4.76147270202637,8.50790023803711,0.0736278957790795,-0.101095623440212,"Col1",0.950245441417421
14,"GFOGER 2","GFOGER","22.355382919311523","17.593910217285156","26.101810455322266",4.76147270202637,8.50790023803711,0.0736278957790795,-0.101095623440212,"Col3",1.07258770677429
15,"GFOGER 2","GFOGER","22.349540710449219","17.493127822875977","26.074146270751953",4.85641288757324,8.58101844787598,0.168568081325954,-0.0279774136013451,"Col1",0.889725322492785
15,"GFOGER 2","GFOGER","22.349540710449219","17.493127822875977","26.074146270751953",4.85641288757324,8.58101844787598,0.168568081325954,-0.0279774136013451,"Col3",1.01958172060918
16,"(P)GFOGER 1","(P)GFOGER","22.048822402954102","17.639116287231445","25.521448135375977",4.40970611572266,7.88233184814453,-0.278138690524631,-0.72666401333279,"Col1",1.21262938709416
16,"(P)GFOGER 1","(P)GFOGER","22.048822402954102","17.639116287231445","25.521448135375977",4.40970611572266,7.88233184814453,-0.278138690524631,-0.72666401333279,"Col3",1.65480820195524
17,"(P)GFOGER 1","(P)GFOGER","21.86418342590332","17.492963790893555","25.460346221923828",4.37121963500977,7.96738243103027,-0.316625171237522,-0.641613430447048,"Col1",1.2454138007043
17,"(P)GFOGER 1","(P)GFOGER","21.86418342590332","17.492963790893555","25.460346221923828",4.37121963500977,7.96738243103027,-0.316625171237522,-0.641613430447048,"Col3",1.56007288343973
18,"(P)GFOGER 1","(P)GFOGER","22.203371047973633","17.37568473815918","25.460533142089844",4.82768630981445,8.08484840393066,0.139841503567165,-0.524147457546658,"Col1",0.90761886207861
18,"(P)GFOGER 1","(P)GFOGER","22.203371047973633","17.37568473815918","25.460533142089844",4.82768630981445,8.08484840393066,0.139841503567165,-0.524147457546658,"Col3",1.43808351153874
19,"PBS 3","PBS","21.906650543212891","17.080392837524414","25.343898773193359",4.82625770568848,8.26350593566895,0.138412899441189,-0.345489925808376,"Col1",0.908518061291375
19,"PBS 3","PBS","21.906650543212891","17.080392837524414","25.343898773193359",4.82625770568848,8.26350593566895,0.138412899441189,-0.345489925808376,"Col3",1.27058238723722
2,"GFOGER 1","GFOGER","21.696632385253906","17.590656280517578","24.978185653686523",4.10597610473633,7.38752937316895,-0.58186870151096,-1.22146648830838,"Col1",1.49678675926197
2,"GFOGER 1","GFOGER","21.696632385253906","17.590656280517578","24.978185653686523",4.10597610473633,7.38752937316895,-0.58186870151096,-1.22146648830838,"Col3",2.33183626210925
20,"PBS 3","PBS","22.086721420288086","17.368751525878906","25.47361946105957",4.71796989440918,8.10486793518066,0.030125088161892,-0.504127926296658,"Col1",0.97933538111451
20,"PBS 3","PBS","22.086721420288086","17.368751525878906","25.47361946105957",4.71796989440918,8.10486793518066,0.030125088161892,-0.504127926296658,"Col3",1.41826579021614
21,"PBS 3","PBS","21.958940505981445","17.194435119628906","25.392587661743164",4.76450538635254,8.19815254211426,0.0766605801052513,-0.410843319363064,"Col1",0.948250031721887
21,"PBS 3","PBS","21.958940505981445","17.194435119628906","25.392587661743164",4.76450538635254,8.19815254211426,0.0766605801052513,-0.410843319363064,"Col3",1.32946271704511
25,"GFOGER 3","GFOGER","21.815603256225586","17.398271560668945","25.523384094238281",4.41733169555664,8.12511253356934,-0.270513110690647,-0.483883327907986,"Col1",1.20623676305745
25,"GFOGER 3","GFOGER","21.815603256225586","17.398271560668945","25.523384094238281",4.41733169555664,8.12511253356934,-0.270513110690647,-0.483883327907986,"Col3",1.39850297992628
26,"GFOGER 3","GFOGER","21.844442367553711","17.487707138061523","25.617952346801758",4.35673522949219,8.13024520874023,-0.3311095767551,-0.478750652737087,"Col1",1.25798051537378
26,"GFOGER 3","GFOGER","21.844442367553711","17.487707138061523","25.617952346801758",4.35673522949219,8.13024520874023,-0.3311095767551,-0.478750652737087,"Col3",1.39353636691727
27,"GFOGER 3","GFOGER","21.906538009643555","17.412559509277344","25.592721939086914",4.49397850036621,8.18016242980957,-0.193866305881077,-0.428833431667751,"Col1",1.14382497037358
27,"GFOGER 3","GFOGER","21.906538009643555","17.412559509277344","25.592721939086914",4.49397850036621,8.18016242980957,-0.193866305881077,-0.428833431667751,"Col3",1.34614463933089
28,"(P)GFOGER 2","(P)GFOGER","21.549751281738281","17.716255187988281","25.009782791137695",3.83349609375,7.29352760314941,-0.854348712497288,-1.31546825832791,"Col1",1.8079423967947
28,"(P)GFOGER 2","(P)GFOGER","21.549751281738281","17.716255187988281","25.009782791137695",3.83349609375,7.29352760314941,-0.854348712497288,-1.31546825832791,"Col3",2.48883098021474
